  Order ID     Order Date    Order Priority Order Quantity     Sales       Ship Mode     Shipping Cost         Province          Customer Segment    Product Category      Product Sub-Category      Product Container    Ship Date
   23429        3/18/2016       Critical          28           165.43     Regular Air          6                Ontario             Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        3/18/2016
    386         1/23/2018         High             4          16.0072     Regular Air         0.5               Ontario             Corporate        Office Supplies              Labels                 Small Box        1/25/2018
   50754        12/8/2016    Not Specified         9           68.51      Regular Air         5.4        Northwest Territories       Consumer           Technology     Telephones and Communication      Medium Box       12/9/2016
   42279        6/29/2016    Not Specified        44          1531.17     Express Air          7                Ontario            Home Office          Technology         Computer Peripherals          Small Box        6/30/2016
   53635        7/18/2019    Not Specified        33          111.1944    Regular Air         2.1          British Columbia       Small Business     Office Supplies   Scissors, Rulers and Trimmers      Wrap Bag        7/20/2019
   59270        1/10/2017         High             5           692.58    Delivery Truck       75.1              Quebec            Small Business        Furniture           Chairs & Chairmats           Jumbo Drum       1/10/2017
   26370        8/7/2018     Not Specified        20           706.49     Express Air         5.9        Northwest Territories     Home Office       Office Supplies      Storage & Organization         Small Box        8/9/2018
   43781        2/1/2017     Not Specified        45           531.94     Regular Air         1.5        Northwest Territories    Small Business     Office Supplies             Envelopes               Small Box        2/1/2017
   51233        12/8/2016         Low              3           28.36      Regular Air         4.3             Nova Scotia           Corporate           Furniture           Office Furnishings            Wrap Bag        12/8/2016
   48839        7/9/2017        Critical           1           103.93     Regular Air         0.5        Northwest Territories      Corporate        Office Supplies              Labels                 Small Box        7/11/2017
    4672        11/5/2018       Critical          20           163.11     Regular Air         3.9               Alberta             Corporate           Furniture           Office Furnishings            Wrap Bag        11/6/2018
   49088        9/22/2016       Critical          16          139.2177    Regular Air          3              Nova Scotia            Consumer           Technology         Computer Peripherals          Small Pack       9/23/2016
   18822       12/20/2017         Low             34          2086.54     Regular Air         9.6             Saskachewan         Small Business        Technology     Telephones and Communication      Small Box       12/29/2017
   47078        4/18/2017        Medium           18           90.67      Regular Air         0.5            New Brunswick           Consumer        Office Supplies              Labels                 Small Box        4/18/2017
   11680        9/3/2016         Medium           50          7823.87     Regular Air         9.6                Yukon              Corporate           Technology     Telephones and Communication      Small Box        9/5/2016
   36999       12/11/2016        Medium           28          15489.04   Delivery Truck       52.4              Ontario             Corporate           Technology            Copiers and Fax            Jumbo Drum      12/12/2016
    6791        1/31/2018        Medium           14           781.45     Express Air         10.9              Alberta           Small Business        Technology            Office Machines            Medium Box       2/2/2018
   12804        5/25/2019        Medium           34           634.42     Express Air         8.9             Saskachewan          Home Office       Office Supplies      Storage & Organization         Small Box        5/27/2019
   50656       10/24/2016       Critical          39           519.99     Regular Air         5.5          British Columbia          Consumer           Furniture           Office Furnishings           Small Box       10/24/2016
   59973       11/14/2018         Low             29          11812.53   Delivery Truck       15.7            Saskachewan         Small Business        Technology            Office Machines            Jumbo Drum      11/14/2018
   56006        9/30/2018       Critical          20          1529.12     Regular Air         1.3          British Columbia       Small Business        Technology     Telephones and Communication      Small Pack       10/2/2018
    1444        12/4/2016        Medium           13         16930.8989  Delivery Truck       15.7              Ontario            Home Office          Technology            Office Machines            Jumbo Drum       12/7/2016
    1856        3/19/2019    Not Specified        44          4583.06     Regular Air         9.4          British Columbia        Home Office          Technology     Telephones and Communication      Small Box        3/20/2019
   18816        2/24/2016       Critical          12           621.09     Express Air         4.3               Quebec              Corporate        Office Supplies            Appliances               Small Box        2/26/2016
   12867        3/10/2018    Not Specified         6           136.41     Express Air         4.3              Manitoba             Corporate           Technology         Computer Peripherals          Small Box        3/10/2018
   33670        4/27/2019         High            50          222.0678    Regular Air         1.3              Manitoba            Home Office       Office Supplies        Pens & Art Supplies           Wrap Bag        4/29/2019
   37537        1/2/2016          Low              4          1325.79    Delivery Truck       52.2         British Columbia         Corporate           Furniture           Chairs & Chairmats           Jumbo Drum       1/2/2016
   57125        6/2/2017         Medium           31           940.28     Regular Air         1.6               Alberta              Consumer        Office Supplies   Binders and Binder Accessorie     Small Box        6/4/2017
   24801       11/15/2019         High             3           20.23      Regular Air         7.5               Alberta            Home Office       Office Supplies   Binders and Binder Accessorie     Small Box       11/16/2019
